Date,Open,High,Low,Close,Adj Close,Volume
2021-05-26,70.410004,70.910004,70.360001,70.620003,70.620003,31600
2021-05-27,70.250000,70.500000,69.860001,70.410004,70.410004,62900
2021-05-28,70.019997,70.190002,69.699997,69.860001,69.860001,49400
2021-06-01,70.940002,71.610001,70.809998,71.300003,71.300003,197900
2021-06-02,70.949997,71.570000,70.779999,71.000000,71.000000,60900
2021-06-03,70.389999,70.489998,69.089996,69.690002,69.690002,68700
2021-06-04,70.489998,70.500000,69.860001,70.360001,70.360001,50100
2021-06-07,70.339996,70.660004,70.339996,70.570000,70.570000,38200
2021-06-08,72.910004,73.790001,72.779999,73.519997,73.519997,123100
2021-06-09,73.639999,73.709999,73.080002,73.190002,73.190002,82900
2021-06-10,72.519997,72.550003,71.809998,72.279999,72.279999,58400
2021-06-11,72.190002,72.949997,72.050003,72.949997,72.949997,51300
2021-06-14,71.239998,71.620003,71.010002,71.559998,71.559998,95200
2021-06-15,70.680000,71.430000,70.680000,71.360001,71.360001,85900
2021-06-16,71.750000,72.410004,71.250000,71.400002,71.400002,66000
2021-06-17,72.160004,72.570000,71.320000,71.980003,71.980003,57100
2021-06-18,69.949997,70.260002,69.269997,69.919998,69.919998,153500
2021-06-21,69.989998,71.010002,69.449997,71.010002,71.010002,58400
2021-06-22,70.610001,71.000000,70.430000,70.720001,70.720001,48700
2021-06-23,69.680000,70.370003,69.610001,69.980003,69.980003,55100
2021-06-24,70.309998,70.730003,69.959999,70.180000,70.180000,49600
2021-06-25,68.720001,69.300003,68.500000,69.199997,69.199997,92900
2021-06-28,68.019997,68.029999,67.000000,67.139999,67.139999,91600
2021-06-29,66.339996,66.570000,66.070000,66.260002,66.260002,144300
2021-06-30,66.150002,66.949997,66.150002,66.690002,66.690002,51400
2021-07-01,67.050003,67.519997,66.800003,67.360001,67.360001,52700
2021-07-02,67.889999,68.220001,67.449997,68.209999,68.209999,75300
2021-07-06,68.339996,68.449997,67.180000,67.540001,67.540001,73400
2021-07-07,67.629997,67.970001,66.699997,67.290001,67.290001,104500
2021-07-08,64.910004,65.779999,64.320000,65.389999,65.389999,119900
2021-07-09,66.470001,67.050003,66.160004,67.000000,67.000000,46700
2021-07-12,65.809998,65.970001,65.360001,65.769997,65.769997,90200
2021-07-13,65.059998,65.139999,64.570000,64.610001,64.610001,68300
2021-07-14,64.510002,65.070000,64.290001,64.419998,64.419998,133800
2021-07-15,64.620003,64.889999,63.889999,64.199997,64.199997,119200
2021-07-16,66.330002,66.410004,64.070000,64.089996,64.089996,112800
2021-07-19,62.950001,63.090000,61.520000,61.900002,61.900002,226900
2021-07-20,61.450001,63.430000,61.230000,63.320000,63.320000,218600
2021-07-21,64.339996,65.570000,64.320000,65.389999,65.389999,92500
2021-07-22,66.190002,66.279999,64.760002,65.010002,65.010002,111800
2021-07-23,65.989998,65.989998,65.059998,65.169998,65.169998,85000
2021-07-26,65.599998,66.279999,65.330002,66.000000,66.000000,84500
